player_id,name,normalized_name,team,role_classic,roles_mantra,quotation_classic,quotation_mantra,fvm_classic,fvm_mantra,starts,minutes,starter_signal,set_piece_signal,injury_signal,updated_at,appearances,average_rating,fantasy_average,goals,assists,penalties_scored,penalties_taken,previous_appearances,previous_average_rating,previous_fantasy_average,previous_goals,previous_assists
fc-7070,Sucic P.,sucic p,INT,C,C,9,9,21,21,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.0,0,0,0,0,28.0,5.96,6.16,2.0,2.0
fc-5876,Di Gregorio,di gregorio,JUV,P,POR,9,9,10,10,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,30.0,6.07,5.32,0.0,0.0
fc-827,Locatelli,locatelli,JUV,C,M|C,9,10,33,38,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.75,0,1,0,0,36.0,6.28,6.21,1.0,2.0
fc-5562,Thuram K.,thuram k,JUV,C,C,9,9,25,25,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,35.0,6.03,6.31,3.0,2.0
fc-5500,Cancellieri,cancellieri,LAZ,C,W|A,9,8,25,25,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.75,5.5,0,0,0,0,28.0,5.82,6.18,4.0,1.0
fc-6398,Isaksen,isaksen,LAZ,C,W|A,9,8,22,22,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.0,0,0,0,0,27.0,5.96,6.56,5.0,1.0
fc-7313,Ratkov,ratkov,LAZ,A,PC,9,8,22,19,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,8.0,5.69,5.69,0.0,0.0
fc-5878,Colpani,colpani,MON,C,T,9,8,15,13,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.75,7.25,1,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-2155,Cutrone,cutrone,MON,A,PC,9,8,23,20,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.0,0,0,0,0,15.0,5.73,5.93,1.0,0.0
fc-536,Politano,politano,NAP,C,W,9,8,37,37,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.25,0,0,0,0,33.0,6.06,6.33,2.0,5.0
fc-779,Cristante,cristante,ROM,C,M|C,9,10,29,32,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.5,0,0,0,0,37.0,6.09,6.2,2.0,1.0
fc-5735,Volpato,volpato,SAS,C,W|T,9,9,25,25,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,7.75,1,0,0,0,21.0,6.05,6.43,2.0,4.0
fc-7347,Bowie,bowie,SAS,A,PC,9,8,32,32,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.5,0,0,0,0,14.0,5.89,6.71,4.0,0.0
